nimi;osoite;latitude;longitude
Helsinki Ruoholahti;Itämerenkatu 14;60.163363;24.913872
Helsinki Forum Katutaso;Mannerheimintie 16;60.168863;24.939553
Helsinki Forum Pohjakerros;Mannerheimintie 20;60.169411;24.938498
Helsinki Kamppi;Fredrikinkatu 46;60.169041;24.930230
Helsinki Asematunneli;Asema-aukio 1;60.169804;24.941811
Helsinki Kluuvi;Kluuvikatu 7;60.169488;24.947715
Helsinki Hakaniemi;Siltasaarenkatu 12;60.178513;24.949722
Helsinki Teollisuuskatu;Teollisuuskatu 6;60.190498;24.956429
Helsinki Töölö;Mannerheimintie 53;60.189945;24.916233
Helsinki Meilahti;Paciuksenkatu 29;60.195418;24.890553
Helsinki Pitäjänmäki;Vanha Viertotie 29;60.213827;24.880127
Helsinki Herttoniemi;Laivalahdenkatu 1;60.194212;25.037847
Espoo Niittykumpu;Niittymaantie 6;60.170991;24.778151
Espoo Kauniaistentie;Palomiehentie 2;60.208601;24.743034
Helsinki Itäkeskus Kauppakeskus;Itäkatu 1-5 A 29;60.211690;25.083989
Helsinki Kivikko;Kivikonlaita 2;60.231176;25.054819
Helsinki Pukinmäki;Pukinmäenkaari 55;60.242920;24.978276
Vantaa Tammisto;Kirkkotie 4;60.270776;24.974932
Vantaa Kaivoksela;Louhijantie 1;60.263904;24.871951
Espoo Lommila;Lommilanrinne 2;60.219664;24.654633
Kirkkonummi;Asemankaari 2;60.121354;24.441426
Helsinki Ala-Tikkurila;Aamuruskontie 2 A;61.511698;21.815636
Vantaa Vaarala;Lähdepuistontie 2;60.266724;25.100051
Tuusula;Hyrylänkatu 4;60.396184;25.020762
